timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132664584,81,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-23,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,35
1769132664665,99,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-23,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,42
1769132664665,99,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-22,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,42
1769132664765,83,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-23,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,25
1769132664849,99,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-23,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,30
1769132664790,158,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-24,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,30
1769132664948,109,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-24,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,31
1769132664978,87,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-25,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132665065,95,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-25,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,33
1769132665058,102,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-24,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,40
1769132665161,87,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-24,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,26
1769132665161,87,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-25,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,27
1769132665178,180,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-26,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132665248,110,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-25,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history,0,0,21
1769132665358,96,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-26,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,42
1769132665377,171,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-27,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,43
1769132665454,98,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-26,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,35
1769132665548,100,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-27,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,29
